user,login_hour,files_accessed,commands_executed,session_duration,failed_logins
paul,7,15,7,63,1
sarah,9,8,18,119,0
grace,8,15,16,48,0
kevin,18,8,9,30,0
david,15,1,8,93,0
paul,11,8,11,49,1
queen,22,15,27,49,1
charlie,12,1,11,94,1
mike,21,1,8,16,0
henry,22,4,29,53,1
mike,23,11,14,93,1
paul,8,8,21,104,0
bob,23,12,21,70,0
david,13,2,10,48,0
emma,8,6,13,113,0
david,14,15,26,35,0
mike,22,10,9,75,1
mike,22,3,30,51,0
bob,22,2,19,14,0
kevin,6,4,19,102,1
linda,8,7,30,56,0
nina,19,13,26,63,0
jack,21,2,8,96,1
david,14,10,13,86,1
kevin,8,8,27,18,1
queen,17,8,19,59,1
tom,11,10,24,14,0
nina,7,1,16,43,0
david,15,14,12,75,1
emma,11,11,29,20,0
bob,22,4,26,44,1
sarah,10,10,27,115,1
robert,18,8,30,41,1
queen,7,12,22,62,0
jack,22,13,19,96,1
linda,9,4,5,31,1
alice,9,14,5,13,0
tom,8,13,29,109,0
alice,8,1,11,116,1
tom,13,1,18,27,0
charlie,12,12,14,115,0
tom,7,97,167,108,3
robert,21,10,16,52,1
oscar,16,15,7,94,0
frank,14,12,7,84,0
grace,10,3,26,21,0
kevin,12,6,13,14,0
alice,10,8,5,35,1
henry,23,9,6,106,1
paul,21,11,7,73,0
jack,21,5,8,34,1
frank,13,1,20,81,0
henry,23,12,7,24,0
queen,8,1,6,44,0
paul,14,1,27,98,0
sarah,11,14,17,66,1
henry,22,10,17,78,0
bob,22,2,6,61,1
bob,22,13,19,52,0
henry,22,13,26,32,1
alice,9,6,14,62,1
queen,12,6,7,100,1
alice,8,5,14,94,0
linda,8,6,21,16,0
jack,23,11,25,51,1
oscar,17,8,24,53,0
henry,21,4,19,113,0
charlie,15,5,6,13,0
alice,8,15,23,55,1
oscar,21,9,11,47,1
oscar,19,6,17,81,1
henry,21,116,124,44,3
tom,17,13,13,50,0
irene,16,8,21,106,1
alice,8,10,9,41,0
kevin,11,10,21,34,1
irene,12,2,13,18,1
grace,11,13,29,68,1
frank,13,6,11,36,1
david,14,11,13,103,0
robert,11,5,22,105,1
emma,10,11,6,33,0
oscar,17,13,15,75,1
mike,21,13,7,103,0
david,14,13,8,81,1
paul,10,1,16,105,0
linda,9,2,7,107,1
charlie,16,8,12,12,0
henry,23,11,20,55,1
mike,22,13,8,25,1
irene,16,6,8,14,1
kevin,9,3,18,48,1
charlie,16,5,28,15,1
jack,22,8,30,46,1
charlie,16,8,30,37,1
kevin,7,2,29,106,0
sarah,11,11,13,12,1
henry,22,13,30,64,0
jack,21,1,6,20,0
charlie,12,3,10,17,1
paul,16,13,7,114,1
tom,16,10,11,98,1
alice,10,7,7,38,1
emma,8,3,22,65,1
mike,21,13,5,86,1
grace,8,4,11,70,1
emma,10,7,27,96,0
henry,23,4,27,44,1
emma,9,15,20,99,1
grace,10,15,14,39,1
tom,19,4,26,112,1
charlie,12,7,10,115,1
tom,8,12,19,26,0
tom,13,11,23,21,1
paul,17,15,11,21,1
charlie,14,107,135,19,8
nina,22,11,8,107,0
queen,15,2,19,75,1
kevin,19,10,29,74,0
nina,19,10,21,111,1
queen,18,6,20,48,0
linda,10,2,24,41,0
kevin,8,7,12,19,1
david,14,7,30,110,1
mike,22,5,5,120,1
mike,21,7,10,59,1
paul,6,5,30,92,1
mike,21,13,15,38,1
queen,7,6,27,84,0
nina,20,3,8,15,0
david,15,10,18,97,1
robert,13,7,26,109,1
queen,6,7,19,95,1
robert,9,14,8,107,1
kevin,6,8,28,96,0
mike,21,4,19,72,0
linda,8,4,25,81,1
oscar,21,11,7,28,0
alice,10,3,15,44,1
kevin,9,11,24,102,1
oscar,19,3,18,103,0
charlie,13,1,20,70,0
oscar,12,2,21,88,0
jack,22,6,18,83,0
oscar,9,7,30,33,1
david,16,6,11,15,0
queen,21,3,30,61,0
charlie,15,11,18,29,1
paul,9,2,26,18,0
sarah,9,15,30,87,1
emma,9,2,21,107,1
irene,19,14,14,86,1
irene,12,4,12,97,0
alice,10,6,16,44,0
irene,22,10,15,33,1
mike,22,12,17,23,0
mike,22,5,5,94,0
paul,6,8,10,30,0
mike,22,14,30,44,0
nina,13,12,16,16,1
alice,8,2,18,31,1
frank,13,4,13,16,0
jack,21,2,17,46,0
robert,21,8,7,88,1
david,14,4,28,50,1
frank,15,7,24,33,0
tom,13,5,8,86,1
kevin,17,8,12,55,0
alice,11,5,29,98,1
charlie,14,2,30,62,0
paul,10,9,13,21,1
kevin,18,1,25,82,0
charlie,14,5,16,19,1
emma,11,9,27,89,1
robert,17,2,20,86,1
mike,21,5,17,18,1
linda,11,12,29,16,0
queen,9,3,23,89,0
paul,7,6,27,54,1
linda,10,9,7,39,1
alice,8,1,26,108,1
alice,11,7,9,14,1
paul,16,14,9,41,0
charlie,14,1,30,40,0
oscar,20,14,11,106,1
sarah,11,4,6,52,1
alice,9,7,21,76,0
charlie,15,2,17,97,1
nina,8,5,9,32,0
alice,8,5,11,45,0
tom,19,7,18,105,0
jack,21,8,27,32,0
jack,21,9,17,106,0
robert,13,1,15,24,0
alice,9,10,27,73,1
emma,10,10,27,70,0
emma,11,13,21,113,1
oscar,20,5,26,80,1
queen,10,6,18,76,0
henry,23,14,9,34,0
nina,22,12,11,23,1
charlie,15,5,15,43,0
tom,6,10,8,104,0
david,12,9,27,51,0
nina,17,2,20,40,0
sarah,8,12,12,41,1
robert,21,4,12,38,0
grace,11,13,30,71,0
oscar,8,14,20,63,0
nina,19,11,13,88,1
henry,23,62,184,100,7
henry,22,15,13,13,0
paul,16,4,28,94,1
nina,12,99,200,78,6
oscar,10,9,9,85,0
henry,21,13,18,119,0
alice,10,11,25,64,0
grace,11,14,18,34,0
nina,19,3,13,37,0
henry,22,14,9,49,1
oscar,11,15,18,83,0
sarah,10,8,12,116,1
david,12,15,21,17,0
charlie,16,13,26,31,1
charlie,12,4,21,60,0
paul,21,15,17,111,0
queen,18,8,22,66,1
charlie,16,14,12,118,1
queen,18,1,9,36,0
henry,22,5,9,48,1
nina,22,1,17,34,1
david,15,6,18,78,1
queen,7,10,11,26,1
emma,10,10,15,16,1
david,15,10,9,87,0
alice,8,10,17,59,0
irene,17,13,12,99,0
emma,11,11,20,94,1
mike,23,12,13,22,0
robert,7,2,30,84,1
jack,23,11,5,32,0
sarah,10,7,20,50,1
charlie,13,12,23,96,0
kevin,19,13,14,62,0
paul,7,1,14,48,1
robert,10,15,7,103,0
charlie,12,12,14,91,0
bob,22,4,9,29,1
henry,22,9,10,72,1
charlie,15,5,21,82,1
queen,13,12,11,92,0
tom,19,14,23,88,1
alice,11,13,26,56,0
david,15,15,11,51,1
david,14,7,19,25,1
emma,8,10,19,54,0
frank,14,10,27,100,0
linda,10,2,9,81,1
nina,7,6,5,50,0
bob,22,10,5,77,0
linda,8,10,19,64,1
emma,9,10,5,54,0
emma,8,14,25,40,0
david,13,15,25,51,1
oscar,13,14,26,58,1
tom,22,7,24,59,0
oscar,13,12,11,106,0
robert,10,8,21,86,1
nina,18,15,23,105,1
emma,10,14,21,99,1
paul,9,6,12,32,1
charlie,13,4,18,29,1
grace,10,9,7,110,0
david,16,9,10,119,0
bob,23,11,18,86,1
henry,23,4,29,117,0
grace,8,1,7,45,0
nina,19,7,28,21,1
alice,11,6,19,109,0
nina,7,1,18,61,0
emma,9,13,29,51,1
jack,21,7,25,107,0
mike,22,3,12,52,0
linda,8,8,6,102,0
alice,9,6,23,62,1
emma,8,7,23,32,0
sarah,11,1,20,73,0
david,13,8,6,93,0
nina,20,4,7,79,0
henry,23,4,18,70,0
linda,9,14,11,70,0
jack,21,2,10,115,1
robert,11,12,5,83,0
sarah,11,3,5,19,0
linda,10,13,18,61,0
nina,8,4,9,41,0
jack,21,82,191,39,3
tom,6,11,11,102,1
robert,6,2,6,98,1
irene,7,12,10,99,1
kevin,19,2,24,51,0
oscar,8,8,11,111,0
bob,23,10,27,43,1
david,13,8,9,94,0
frank,16,1,9,86,1
queen,20,11,27,27,1
jack,23,3,7,74,0
emma,9,10,29,34,1
bob,23,8,9,14,0
henry,21,7,9,22,1
sarah,10,9,30,15,0
robert,15,1,17,66,0
paul,15,8,19,97,0
linda,8,15,19,38,0
paul,21,3,13,64,1
david,13,13,6,28,0
emma,10,12,13,101,0
jack,22,14,18,30,0
jack,22,14,26,108,0
mike,22,3,28,101,1
alice,11,11,5,70,1
grace,9,9,5,81,0
emma,9,2,6,70,1
oscar,17,4,9,99,0
paul,22,5,22,91,1
tom,18,6,12,22,1
oscar,7,14,30,95,0
paul,22,3,23,64,1
kevin,17,2,22,18,1
irene,11,3,7,27,1
grace,9,15,29,116,0
tom,15,15,13,59,0
emma,8,8,27,65,1
robert,6,4,15,15,0
robert,17,13,16,101,1
grace,10,14,8,113,0
david,14,4,19,72,1
kevin,12,13,28,64,0
henry,21,11,12,53,0
sarah,8,5,13,98,0
jack,23,14,8,34,1
irene,19,8,5,21,0
emma,8,6,27,91,1
kevin,13,11,20,106,0
grace,8,11,15,108,0
alice,11,5,12,117,0
tom,7,6,23,90,0
henry,21,3,16,48,0
robert,8,5,25,69,1
david,12,7,28,30,0
sarah,10,9,6,83,1
jack,22,13,18,100,1
kevin,16,8,24,11,1
david,13,10,19,55,1
emma,11,11,6,12,0
emma,9,14,7,69,0
oscar,8,10,27,66,1
kevin,13,5,18,69,1
nina,12,12,7,60,0
mike,21,2,17,59,1
robert,15,1,13,54,1
robert,21,13,27,47,1
kevin,9,14,24,118,1
mike,21,15,9,92,1
grace,10,11,19,13,0
irene,21,9,25,85,0
alice,11,11,28,93,1
charlie,16,12,17,71,1
irene,11,11,15,83,1
kevin,8,12,17,114,0
henry,22,13,25,90,0
irene,14,1,5,92,1
queen,10,4,16,73,1
alice,11,14,12,83,1
queen,16,12,16,23,1
tom,12,7,26,96,1
robert,16,11,20,51,1
linda,11,2,7,52,1
paul,10,10,8,80,1
charlie,12,12,11,112,0
sarah,8,3,11,96,0
david,13,53,82,28,4
sarah,9,4,9,39,1
tom,22,15,25,52,1
bob,23,8,23,85,1
linda,10,10,12,26,1
oscar,12,3,27,44,0
irene,17,7,26,26,1
irene,8,2,27,64,0
queen,22,11,9,62,1
paul,9,8,17,111,1
linda,10,9,21,97,1
grace,9,89,83,60,6
kevin,6,15,11,64,1
tom,20,7,26,30,0
emma,8,5,15,53,0
kevin,22,2,17,54,0
irene,12,3,17,84,0
frank,13,11,27,72,1
mike,21,8,10,44,0
tom,13,102,140,70,3
jack,21,77,160,26,8
tom,18,12,15,110,0
nina,7,9,27,23,1
queen,15,5,15,100,0
alice,10,15,10,100,1
nina,18,14,17,20,1
frank,16,10,19,87,0
charlie,13,14,24,109,1
robert,9,10,28,30,1
bob,23,56,92,36,6
grace,8,5,14,119,1
jack,23,6,12,106,0
alice,8,10,10,74,0
nina,9,6,14,120,1
frank,12,13,12,18,1
charlie,14,9,11,71,0
charlie,13,9,11,98,0
